timestamp,breathing_waveform
1630678977202,7406584
1630678977242,7405854
1630678977282,7406115
1630678977322,7405176
1630678977362,7404498
1630678977402,7404446
1630678977442,7402882
1630678977482,7402151
1630678977522,7401630
1630678977562,7400535
1630678977602,7399753
1630678977642,7398240
1630678977682,7398710
1630678977722,7397406
1630678977762,7396467
1630678977802,7396415
1630678977842,7395737
1630678977882,7395268
1630678977922,7394903
1630678977962,7394642
1630678978002,7393495
1630678978042,7393495
1630678978082,7392921
1630678978122,7393547
1630678978162,7393130
1630678978202,7393599
1630678978242,7394694
1630678978282,7395476
1630678978322,7394799
1630678978362,7393808
1630678978402,7392817
1630678978442,7390053
1630678978482,7388488
1630678978522,7388541
1630678978562,7388593
1630678978602,7389479
1630678978642,7390835
1630678978682,7391670
1630678978722,7393390
1630678978762,7395529
1630678978802,7396676
1630678978842,7398605
1630678978882,7400848
1630678978922,7402986
1630678978962,7405645
1630678979002,7408566
1630678979042,7412425
1630678979082,7415450
1630678979122,7418057
1630678979162,7420560
1630678979202,7421186
1630678979242,7422125
1630678979282,7422229
1630678979322,7421030
1630678979362,7420195
1630678979402,7418735
1630678979442,7418266
1630678979482,7416232
1630678979522,7414250
1630678979562,7413885
1630678979602,7413103
1630678979642,7411434
1630678979682,7410183
1630678979722,7409818
1630678979762,7409035
1630678979802,7409140
1630678979842,7408305
1630678979882,7407314
1630678979922,7407053
1630678979962,7406741
1630678980002,7406584
1630678980042,7405802
1630678980082,7405489
1630678980122,7405750
1630678980162,7405333
1630678980202,7405124
1630678980242,7405020
1630678980282,7404185
1630678980322,7404446
1630678980362,7404237
1630678980402,7404237
1630678980442,7404290
1630678980482,7402934
1630678980522,7402204
1630678980562,7400274
1630678980602,7399648
1630678980642,7398292
1630678980682,7396937
1630678980722,7396207
1630678980762,7395059
1630678980802,7394433
1630678980842,7393703
1630678980882,7393547
1630678980922,7393078
1630678980962,7393703
1630678981002,7392348
1630678981042,7391461
1630678981082,7391565
1630678981122,7391096
1630678981162,7391670
1630678981202,7391722
1630678981242,7390835
1630678981282,7391096
1630678981322,7389844
1630678981362,7390731
1630678981402,7391044
1630678981442,7391617
1630678981482,7393495
1630678981522,7395059
1630678981562,7395581
1630678981602,7396624
1630678981642,7398136
1630678981682,7399544
1630678981722,7400535
1630678981762,7401943
1630678981802,7403299
1630678981842,7404602
1630678981882,7406584
1630678981922,7407992
1630678981962,7409661
1630678982002,7410808
1630678982042,7412738
1630678982082,7413364
1630678982122,7415658
1630678982162,7416493
1630678982202,7417588
1630678982242,7418318
1630678982282,7418370
1630678982322,7418109
1630678982362,7417327
1630678982402,7416545
1630678982442,7415867
1630678982482,7415293
1630678982522,7413833
1630678982562,7412947
1630678982602,7412321
1630678982642,7411538
1630678982682,7410704
1630678982722,7409818
1630678982762,7409348
1630678982802,7409296
1630678982842,7408461
1630678982882,7407419
1630678982922,7407158
1630678982962,7405906
1630678983002,7405906
1630678983042,7406115
1630678983082,7404394
1630678983122,7404602
1630678983162,7403820
1630678983202,7403664
1630678983242,7403299
1630678983282,7403351
1630678983322,7403925
1630678983362,7404237
1630678983402,7404290
1630678983442,7404081
1630678983482,7403299
1630678983522,7402777
1630678983562,7402673
1630678983602,7402047
1630678983642,7401161
1630678983682,7401109
1630678983722,7400222
1630678983762,7399388
1630678983802,7398710
1630678983842,7398345
1630678983882,7397093
1630678983922,7397093
1630678983962,7396154
1630678984002,7396519
1630678984042,7397041
1630678984082,7398814
1630678984122,7400170
1630678984162,7401526
1630678984202,7403194
1630678984242,7404446
1630678984282,7405385
1630678984322,7407627
1630678984362,7410600
1630678984402,7414094
1630678984442,7416753
1630678984482,7419204
1630678984522,7420717
1630678984562,7420717
1630678984602,7418996
1630678984642,7416388
1630678984682,7414511
1630678984722,7414302
1630678984762,7413781
1630678984802,7412999
1630678984842,7413364
1630678984882,7412425
1630678984922,7412164
1630678984962,7411434
1630678985002,7410496
1630678985042,7409974
1630678985082,7409348
1630678985122,7409244
1630678985162,7409192
1630678985202,7409922
1630678985242,7408931
1630678985282,7408305
1630678985322,7408149
1630678985362,7407471
1630678985402,7407158
1630678985442,7406584
1630678985482,7406636
1630678985522,7406688
1630678985562,7407158
1630678985602,7407732
1630678985642,7406741
1630678985682,7407314
1630678985722,7407940
1630678985762,7407888
1630678985802,7408514
1630678985842,7408149
1630678985882,7408096
1630678985922,7408305
1630678985962,7407523
1630678986002,7406636
1630678986042,7406219
1630678986082,7406636
1630678986122,7406584
1630678986162,7406584
1630678986202,7406688
1630678986242,7406063
1630678986282,7405072
1630678986322,7405333
1630678986362,7405437
1630678986402,7405228
1630678986442,7404968
1630678986482,7404185
1630678986522,7404237
1630678986562,7404029
1630678986602,7403977
1630678986642,7403768
1630678986682,7403768
1630678986722,7403351
1630678986762,7403560
1630678986802,7404081
1630678986842,7403090
1630678986882,7402569
1630678986922,7402100
1630678986962,7400743
1630678987002,7400848
1630678987042,7400222
1630678987082,7399909
1630678987122,7398970
1630678987162,7398605
1630678987202,7398345
1630678987242,7398292
1630678987282,7397823
1630678987322,7397667
1630678987362,7397667
1630678987402,7397197
1630678987442,7397354
1630678987482,7397823
1630678987522,7398032
1630678987562,7397980
1630678987602,7399179
1630678987642,7400013
1630678987682,7401056
1630678987722,7401786
1630678987762,7403612
1630678987802,7404707
1630678987842,7406011
1630678987882,7407002
1630678987922,7408305
1630678987962,7409870
1630678988002,7412216
1630678988042,7413781
1630678988082,7415815
1630678988122,7417379
1630678988162,7418839
1630678988202,7420821
1630678988242,7421916
1630678988282,7424315
1630678988322,7424732
1630678988362,7426453
1630678988402,7426714
1630678988442,7426558
1630678988482,7425879
1630678988522,7424836
1630678988562,7423689
1630678988602,7422907
1630678988642,7421968
1630678988682,7421968
1630678988722,7421186
1630678988762,7420091
1630678988802,7419048
1630678988842,7418474
1630678988882,7417327
1630678988922,7416910
1630678988962,7416023
1630678989002,7415085
1630678989042,7414876
1630678989082,7414407
1630678989122,7413468
1630678989162,7413416
1630678989202,7413312
1630678989242,7412686
1630678989282,7412269
1630678989322,7412060
1630678989362,7412164
1630678989402,7411747
1630678989442,7411695
1630678989482,7412425
1630678989522,7411747
1630678989562,7411382
1630678989602,7409870
1630678989642,7409348
1630678989682,7409818
1630678989722,7409765
1630678989762,7409609
1630678989802,7409296
1630678989842,7408514
1630678989882,7408879
1630678989922,7408305
1630678989962,7408305
1630678990002,7407367
1630678990042,7406167
1630678990082,7405228
1630678990122,7404916
1630678990162,7404863
1630678990202,7404863
1630678990242,7404863
1630678990282,7404811
1630678990322,7403560
1630678990362,7403143
1630678990402,7402464
1630678990442,7402569
1630678990482,7404342
1630678990522,7404916
1630678990562,7406167
1630678990602,7407575
1630678990642,7409400
1630678990682,7412060
1630678990722,7414824
1630678990762,7417640
1630678990802,7418839
1630678990842,7420821
1630678990882,7421916
1630678990922,7423898
1630678990962,7425358
1630678991002,7426923
1630678991042,7428591
1630678991082,7430364
1630678991122,7431199
1630678991162,7431720
1630678991202,7432242
1630678991242,7432398
1630678991282,7431147
1630678991322,7431042
1630678991362,7429269
1630678991402,7428435
1630678991442,7427392
1630678991482,7427235
1630678991522,7427392
1630678991562,7426140
1630678991602,7425358
1630678991642,7425150
1630678991682,7424628
1630678991722,7424107
1630678991762,7424576
1630678991802,7423689
1630678991842,7423533
1630678991882,7423168
1630678991922,7423324
1630678991962,7423481
1630678992002,7423063
1630678992042,7423063
1630678992082,7422594
1630678992122,7422229
1630678992162,7422907
1630678992202,7423689
1630678992242,7423533
1630678992282,7423063
1630678992322,7423533
1630678992362,7422750
1630678992402,7421551
1630678992442,7421030
1630678992482,7420143
1630678992522,7419152
1630678992562,7418370
1630678992602,7417744
1630678992642,7417275
1630678992682,7416336
1630678992722,7416232
1630678992762,7415032
1630678992802,7415450
1630678992842,7415763
1630678992882,7415345
1630678992922,7415189
1630678992962,7414824
1630678993002,7414615
1630678993042,7414250
1630678993082,7413416
1630678993122,7413259
1630678993162,7411747
1630678993202,7411799
1630678993242,7410183
1630678993282,7409192
1630678993322,7408670
1630678993362,7408096
1630678993402,7407053
1630678993442,7406063
1630678993482,7405698
1630678993522,7405124
1630678993562,7406063
1630678993602,7405333
1630678993642,7405489
1630678993682,7406063
1630678993722,7407992
1630678993762,7410078
1630678993802,7411278
1630678993842,7413729
1630678993882,7415189
1630678993922,7416545
1630678993962,7419726
1630678994002,7421395
1630678994042,7423220
1630678994082,7425567
1630678994122,7427757
1630678994162,7428904
1630678994202,7429947
1630678994242,7427235
1630678994282,7424524
1630678994322,7421708
1630678994362,7420091
1630678994402,7419100
1630678994442,7418422
1630678994482,7418057
1630678994522,7418057
1630678994562,7417171
1630678994602,7416284
1630678994642,7414720
1630678994682,7414302
1630678994722,7413520
1630678994762,7413207
1630678994802,7413677
1630678994842,7412999
1630678994882,7412060
1630678994922,7411956
1630678994962,7411695
1630678995002,7412425
1630678995042,7411382
1630678995082,7410130
1630678995122,7407158
1630678995162,7404133
1630678995202,7400639
1630678995242,7399127
1630678995282,7397615
1630678995322,7396519
1630678995362,7395424
1630678995402,7394642
1630678995442,7393025
1630678995482,7392243
1630678995522,7392452
1630678995562,7391878
1630678995602,7390835
1630678995642,7389897
1630678995682,7388801
1630678995722,7388019
1630678995762,7387863
1630678995802,7387706
1630678995842,7387550
1630678995882,7387446
1630678995922,7388645
1630678995962,7387863
1630678996002,7388541
1630678996042,7387446
1630678996082,7387393
1630678996122,7386820
1630678996162,7387393
1630678996202,7388593
1630678996242,7390418
1630678996282,7393338
1630678996322,7395111
1630678996362,7398814
1630678996402,7400848
1630678996442,7403612
1630678996482,7405124
1630678996522,7408253
1630678996562,7410496
1630678996602,7413416
1630678996642,7415085
1630678996682,7417118
1630678996722,7418005
1630678996762,7418839
1630678996802,7418214
1630678996842,7415763
1630678996882,7414146
1630678996922,7413259
1630678996962,7413520
1630678997002,7412947
1630678997042,7413364
1630678997082,7413207
1630678997122,7412686
1630678997162,7412634
1630678997202,7410965
1630678997242,7411695
1630678997282,7410391
1630678997322,7410287
1630678997362,7409192
1630678997402,7408566
1630678997442,7407836
1630678997482,7407523
1630678997522,7407627
1630678997562,7407106
1630678997602,7405750
1630678997642,7404759
1630678997682,7404290
1630678997722,7404446
1630678997762,7404707
1630678997802,7404498
1630678997842,7404342
1630678997882,7405020
1630678997922,7404290
1630678997962,7404237
1630678998002,7404081
1630678998042,7403925
1630678998082,7404237
1630678998122,7403664
1630678998162,7402621
1630678998202,7402673
1630678998242,7402934
1630678998282,7403977
1630678998322,7404133
1630678998362,7406428
1630678998402,7407367
1630678998442,7409765
1630678998482,7412529
1630678998522,7414511
1630678998562,7416493
1630678998602,7418631
1630678998642,7419204
1630678998682,7417640
1630678998722,7416753
1630678998762,7415345
1630678998802,7414772
1630678998842,7415606
1630678998882,7414511
1630678998922,7413781
1630678998962,7413051
1630678999002,7412425
1630678999042,7411799
1630678999082,7410861
1630678999122,7410443
1630678999162,7410339
1630678999202,7409765
1630678999242,7407732
1630678999282,7407419
1630678999322,7405541
1630678999362,7406115
1630678999402,7404811
1630678999442,7404029
1630678999482,7403664
1630678999522,7402829
1630678999562,7402256
1630678999602,7402360
1630678999642,7401578
1630678999682,7401317
1630678999722,7402047
1630678999762,7403194
1630678999802,7404968
1630678999842,7406271
1630678999882,7408514
1630678999922,7411226
1630678999962,7413572
1630679000002,7416910
1630679000042,7418839
1630679000082,7420665
1630679000122,7422490
1630679000162,7423116
1630679000202,7424628
1630679000242,7425619
1630679000282,7426609
1630679000322,7427652
1630679000362,7428383
1630679000402,7428278
1630679000442,7428383
1630679000482,7428852
1630679000522,7428539
1630679000562,7429217
1630679000602,7429739
1630679000642,7430103
1630679000682,7429999
1630679000722,7429739
1630679000762,7429530
1630679000802,7428174
1630679000842,7427079
1630679000882,7427548
1630679000922,7425462
1630679000962,7425827
1630679001002,7425201
1630679001042,7425410
1630679001082,7425358
1630679001122,7425150
1630679001162,7424628
1630679001202,7423637
1630679001242,7424054
1630679001282,7423585
1630679001322,7423324
1630679001362,7424159
1630679001402,7422750
1630679001442,7422542
1630679001482,7421916
1630679001522,7420769
1630679001562,7420039
1630679001602,7420665
1630679001642,7419987
1630679001682,7418891
1630679001722,7418109
1630679001762,7417588
1630679001802,7416701
1630679001842,7416180
1630679001882,7415345
1630679001922,7414824
1630679001962,7413416
1630679002002,7412373
1630679002042,7411382
1630679002082,7410912
1630679002122,7409818
1630679002162,7409192
1630679002202,7408514
1630679002242,7408201
1630679002282,7407314
1630679002322,7405750
1630679002362,7405437
1630679002402,7405594
1630679002442,7405437
1630679002482,7404394
1630679002522,7405437
1630679002562,7404707
1630679002602,7405854
1630679002642,7406897
1630679002682,7407523
1630679002722,7408722
1630679002762,7409870
1630679002802,7410912
1630679002842,7412269
1630679002882,7413677
1630679002922,7415345
1630679002962,7417275
1630679003002,7417536
1630679003042,7419048
1630679003082,7420456
1630679003122,7422073
1630679003162,7422855
1630679003202,7424784
1630679003242,7425619
1630679003282,7427027
1630679003322,7428539
1630679003362,7429060
1630679003402,7430417
1630679003442,7431094
1630679003482,7431199
1630679003522,7432555
1630679003562,7432346
1630679003602,7432242
1630679003642,7431668
1630679003682,7431094
1630679003722,7430938
1630679003762,7428852
1630679003802,7427601
1630679003842,7425306
1630679003882,7424263
1630679003922,7422803
1630679003962,7422750
1630679004002,7422542
1630679004042,7422803
1630679004082,7422803
1630679004122,7421655
1630679004162,7421291
1630679004202,7420404
1630679004242,7419309
1630679004282,7418370
1630679004322,7417692
1630679004362,7417431
1630679004402,7416858
1630679004442,7417692
1630679004482,7416388
1630679004522,7415554
1630679004562,7415293
1630679004602,7412894
1630679004642,7411591
1630679004682,7411069
1630679004722,7411382
1630679004762,7410130
1630679004802,7409609
1630679004842,7409765
1630679004882,7409974
1630679004922,7409504
1630679004962,7409244
1630679005002,7408357
1630679005042,7409400
1630679005082,7409818
1630679005122,7410339
1630679005162,7411486
1630679005202,7411747
1630679005242,7411695
1630679005282,7410391
1630679005322,7409870
1630679005362,7409713
1630679005402,7408670
1630679005442,7408201
1630679005482,7408827
1630679005522,7408566
1630679005562,7408149
1630679005602,7408149
1630679005642,7408775
1630679005682,7407888
1630679005722,7408096
1630679005762,7408096
1630679005802,7408931
1630679005842,7408983
1630679005882,7409348
1630679005922,7408461
1630679005962,7408514
1630679006002,7407262
1630679006042,7407471
1630679006082,7407471
1630679006122,7406741
1630679006162,7406532
1630679006202,7406167
1630679006242,7406793
1630679006282,7405489
1630679006322,7406219
1630679006362,7405489
1630679006402,7404759
1630679006442,7404342
1630679006482,7404498
1630679006522,7404602
1630679006562,7404290
1630679006602,7403977
1630679006642,7403455
1630679006682,7402986
1630679006722,7403299
1630679006762,7403299
1630679006802,7404968
1630679006842,7404551
1630679006882,7406219
1630679006922,7407106
1630679006962,7409453
1630679007002,7410861
1630679007042,7413259
1630679007082,7414720
1630679007122,7416545
1630679007162,7417692
1630679007202,7418474
1630679007242,7419726
1630679007282,7421603
1630679007322,7422907
1630679007362,7425097
1630679007402,7426453
1630679007442,7429165
1630679007482,7431355
1630679007522,7432868
1630679007562,7434276
1630679007602,7434484
1630679007642,7434901
1630679007682,7434641
1630679007722,7434588
1630679007762,7434432
1630679007802,7434536
1630679007842,7433754
1630679007882,7433128
1630679007922,7432294
1630679007962,7431147
1630679008002,7429999
1630679008042,7429634
1630679008082,7428278
1630679008122,7427705
1630679008162,7426818
1630679008202,7426870
1630679008242,7425984
1630679008282,7425306
1630679008322,7425619
1630679008362,7424628
1630679008402,7424680
1630679008442,7423793
1630679008482,7423742
1630679008522,7423793
1630679008562,7423168
1630679008602,7423011
1630679008642,7422438
1630679008682,7422542
1630679008722,7421551
1630679008762,7420977
1630679008802,7420717
1630679008842,7420560
1630679008882,7419622
1630679008922,7419517
1630679008962,7418944
1630679009002,7419100
1630679009042,7418214
1630679009082,7417327
1630679009122,7417536
1630679009162,7417379
1630679009202,7417692
1630679009242,7417014
1630679009282,7418474
1630679009322,7417901
1630679009362,7417014
1630679009402,7416180
1630679009442,7414980
1630679009482,7415345
1630679009522,7415241
1630679009562,7413989
1630679009602,7413312
1630679009642,7413468
1630679009682,7412947
1630679009722,7412686
1630679009762,7411538
1630679009802,7411538
1630679009842,7411382
1630679009882,7410026
1630679009922,7409818
1630679009962,7409400
1630679010002,7408827
1630679010042,7409609
1630679010082,7409035
1630679010122,7407940
1630679010162,7407836
1630679010202,7407627
1630679010242,7406741
1630679010282,7406324
1630679010322,7406636
1630679010362,7406063
1630679010402,7405854
1630679010442,7405594
1630679010482,7405594
1630679010522,7405594
1630679010562,7404968
1630679010602,7403977
1630679010642,7404602
1630679010682,7404342
1630679010722,7404602
1630679010762,7403977
1630679010802,7403768
1630679010842,7403247
1630679010882,7402047
1630679010922,7402934
1630679010962,7402829
1630679011002,7403351
1630679011042,7404081
1630679011082,7405385
1630679011122,7405437
1630679011162,7404759
1630679011202,7404759
1630679011242,7404185
1630679011282,7403872
1630679011322,7402621
1630679011362,7403560
1630679011402,7403299
1630679011442,7403716
1630679011482,7403194
1630679011522,7403351
1630679011562,7403351
1630679011602,7401369
1630679011642,7401786
1630679011682,7401056
1630679011722,7399440
1630679011762,7399179
1630679011802,7399596
1630679011842,7400743
1630679011882,7400952
1630679011922,7402360
1630679011962,7403247
1630679012002,7405176
1630679012042,7406636
1630679012082,7407992
1630679012122,7410287
1630679012162,7412216
1630679012202,7413989
1630679012242,7416128
1630679012282,7417744
1630679012322,7420091
1630679012362,7421655
1630679012402,7424002
1630679012442,7426609
1630679012482,7427444
1630679012522,7430156
1630679012562,7431511
1630679012602,7433963
1630679012642,7436205
1630679012682,7437039
1630679012722,7436883
1630679012762,7436935
1630679012802,7436257
1630679012842,7435840
1630679012882,7435266
1630679012922,7433858
1630679012962,7433806
1630679013002,7432503
1630679013042,7431825
1630679013082,7430990
1630679013122,7431303
1630679013162,7430103
1630679013202,7429426
1630679013242,7428956
1630679013282,7428383
1630679013322,7427861
1630679013362,7428018
1630679013402,7427131
1630679013442,7426558
1630679013482,7425879
1630679013522,7425097
1630679013562,7424524
1630679013602,7424524
1630679013642,7424107
1630679013682,7422699
1630679013722,7422177
1630679013762,7420873
1630679013802,7419883
1630679013842,7418631
1630679013882,7417483
1630679013922,7417171
1630679013962,7415867
1630679014002,7415189
1630679014042,7414928
1630679014082,7414667
1630679014122,7414094
1630679014162,7413259
1630679014202,7412947
1630679014242,7412738
1630679014282,7412529
1630679014322,7413677
1630679014362,7414980
1630679014402,7415345
1630679014442,7418161
1630679014482,7419204
1630679014522,7421655
1630679014562,7423898
1630679014602,7425410
1630679014642,7427757
1630679014682,7429843
1630679014722,7432085
1630679014762,7432711
1630679014802,7434380
1630679014842,7435840
1630679014882,7436727
1630679014922,7436205
1630679014962,7435319
1630679015002,7434223
1630679015042,7433076
1630679015082,7432346
1630679015122,7431511
1630679015162,7431720
1630679015202,7430052
1630679015242,7429686
1630679015282,7428644
1630679015322,7428070
1630679015362,7426453
1630679015402,7426036
1630679015442,7426140
1630679015482,7424784
1630679015522,7424159
1630679015562,7423428
1630679015602,7423116
1630679015642,7421864
1630679015682,7421551
1630679015722,7420352
1630679015762,7419465
1630679015802,7419569
1630679015842,7418735
1630679015882,7418735
1630679015922,7418057
1630679015962,7417744
1630679016002,7417901
1630679016042,7418579
1630679016082,7418422
1630679016122,7419204
1630679016162,7420039
1630679016202,7420352
1630679016242,7421447
1630679016282,7423428
1630679016322,7424576
1630679016362,7426349
1630679016402,7426662
1630679016442,7426453
1630679016482,7425984
1630679016522,7427235
1630679016562,7428644
1630679016602,7428852
1630679016642,7429947
1630679016682,7430729
1630679016722,7430990
1630679016762,7431094
1630679016802,7431564
1630679016842,7432242
1630679016882,7431251
1630679016922,7431511
1630679016962,7430990
1630679017002,7430573
1630679017042,7430834
1630679017082,7429895
1630679017122,7429269
1630679017162,7428748
1630679017202,7427809
1630679017242,7426558
1630679017282,7425201
1630679017322,7424263
1630679017362,7423898
1630679017402,7423481
1630679017442,7423011
1630679017482,7422855
1630679017522,7422542
1630679017562,7422699
1630679017602,7422646
1630679017642,7422907
1630679017682,7423428
1630679017722,7422542
1630679017762,7423324
1630679017802,7423220
1630679017842,7423168
1630679017882,7422646
1630679017922,7422959
1630679017962,7423011
1630679018002,7423011
1630679018042,7422438
1630679018082,7421812
1630679018122,7420717
1630679018162,7420873
1630679018202,7420612
1630679018242,7420977
1630679018282,7420299
1630679018322,7420039
1630679018362,7420821
1630679018402,7420247
1630679018442,7420456
1630679018482,7419883
1630679018522,7419517
1630679018562,7418683
1630679018602,7418839
1630679018642,7418579
1630679018682,7418318
1630679018722,7418735
1630679018762,7419152
1630679018802,7419934
1630679018842,7419309
1630679018882,7418057
1630679018922,7417744
1630679018962,7415971
1630679019002,7415815
1630679019042,7414563
1630679019082,7413885
1630679019122,7413781
1630679019162,7413624
1630679019202,7414042
1630679019242,7415658
1630679019282,7416910
1630679019322,7418318
1630679019362,7419413
1630679019402,7420143
1630679019442,7421916
1630679019482,7424263
1630679019522,7425515
1630679019562,7428070
1630679019602,7430260
1630679019642,7434171
1630679019682,7436414
1630679019722,7438395
1630679019762,7440064
1630679019802,7441576
1630679019842,7441316
1630679019882,7440586
1630679019922,7440221
1630679019962,7439334
1630679020002,7436205
1630679020042,7434119
1630679020082,7434015
1630679020122,7432815
1630679020162,7432137
1630679020202,7431929
1630679020242,7431251
1630679020282,7430364
1630679020322,7430312
1630679020362,7428956
1630679020402,7428122
1630679020442,7426818
1630679020482,7426505
1630679020522,7425723
1630679020562,7424993
1630679020602,7424002
1630679020642,7423011
1630679020682,7422438
1630679020722,7421968
1630679020762,7421760
1630679020802,7422125
1630679020842,7421916
1630679020882,7421186
1630679020922,7420717
1630679020962,7420404
1630679021002,7420143
1630679021042,7419517
1630679021082,7419309
1630679021122,7418631
1630679021162,7419726
1630679021202,7419726
1630679021242,7419465
1630679021282,7419100
1630679021322,7419309
1630679021362,7418057
1630679021402,7417588
1630679021442,7416806
1630679021482,7416858
1630679021522,7416701
1630679021562,7414198
1630679021602,7409348
1630679021642,7405020
1630679021682,7401995
1630679021722,7399909
1630679021762,7397458
1630679021802,7397458
1630679021842,7399857
1630679021882,7400326
1630679021922,7399596
1630679021962,7399492
1630679022002,7399909
1630679022042,7399857
1630679022082,7399909
1630679022122,7399388
1630679022162,7399075
1630679022202,7399753
1630679022242,7399753
1630679022282,7399805
1630679022322,7399700
1630679022362,7399857
1630679022402,7399909
1630679022442,7399700
1630679022482,7398970
1630679022522,7398553
1630679022562,7397980
1630679022602,7397667
1630679022642,7398240
1630679022682,7399961
1630679022722,7400743
1630679022762,7402256
1630679022802,7404707
1630679022842,7406793
